source	specimen	id	read_pairs	yield	n50	kmer	haploid	repeat	het	species	cultivar	origin	gbp	ssid
illumina	drMalDome35	39617#24	370318248	55918055448	0	21	702573940	54.43	1.28	Malus domestica	Red Bountiful	RBGE Living Collections		AppleDay10498814
illumina	drMalDome35	39617#24	370318248	55918055448	0	31	696956696	44.42	1.18	Malus domestica	Red Bountiful	RBGE Living Collections		AppleDay10498814
illumina	drMalDome36	39617#17	364690374	55068246474	0	31	677507164	43.12	1.26	Malus domestica	Red Falstaff	RBGE Living Collections		AppleDay10498807
illumina	drMalDome36	39617#17	364690374	55068246474	0	21	681414008	53.37	1.38	Malus domestica	Red Falstaff	RBGE Living Collections		AppleDay10498807
illumina	drMalDome36	39617#17	364690374	55068246474	0	31	676032712	43.3	1.27	Malus domestica	Red Falstaff	RBGE Living Collections		AppleDay10498807
illumina	drMalDome44	39617#15	337811254	51009499354	0	31	672316549	42.47	1.23	Malus domestica	Scrumptious	RBGE Living Collections		AppleDay10498805
illumina	drMalDome44	39617#15	337811254	51009499354	0	21	676234760	52.86	1.34	Malus domestica	Scrumptious	RBGE Living Collections		AppleDay10498805
illumina	drMalDome44	39617#15	337811254	51009499354	0	31	671249509	42.68	1.24	Malus domestica	Scrumptious	RBGE Living Collections		AppleDay10498805
illumina	drMalDome43	39617#16	398555114	60181822214	0	31	684523176	43.23	1.14	Malus domestica	Red Devil	RBGE Living Collections		AppleDay10498806
illumina	drMalDome43	39617#16	398555114	60181822214	0	21	687294251	53.47	1.24	Malus domestica	Red Devil	RBGE Living Collections		AppleDay10498806
illumina	drMalDome43	39617#16	398555114	60181822214	0	31	682692811	43.25	1.15	Malus domestica	Red Devil	RBGE Living Collections		AppleDay10498806
illumina	drMalDome24	39617#35	303485552	45826318352	0	31	711687822	45.43	1.17	Malus domestica	Hawthornden	RBGE Living Collections		AppleDay10498825
illumina	drMalDome24	39617#35	303485552	45826318352	0	21	716096750	55.28	1.28	Malus domestica	Hawthornden	RBGE Living Collections		AppleDay10498825
illumina	drMalDome24	39617#35	303485552	45826318352	0	31	710839985	45.72	1.18	Malus domestica	Hawthornden	RBGE Living Collections		AppleDay10498825
illumina	drMalDome21	39617#37	359404682	54270106982	0	31	700260780	44.17	1.14	Malus domestica	Oslin	RBGE Living Collections		AppleDay10498827
illumina	drMalDome21	39617#37	359404682	54270106982	0	21	703512265	54.32	1.24	Malus domestica	Oslin	RBGE Living Collections		AppleDay10498827
illumina	drMalDome21	39617#37	359404682	54270106982	0	31	699112605	44.41	1.14	Malus domestica	Oslin	RBGE Living Collections		AppleDay10498827
illumina	drMalDome25	39617#34	270935826	40911309726	0	31	692451102	44.23	1.24	Malus domestica	Stirling Castle	RBGE Living Collections		AppleDay10498824
illumina	drMalDome25	39617#34	270935826	40911309726	0	21	698410887	54.33	1.36	Malus domestica	Stirling Castle	RBGE Living Collections		AppleDay10498824
illumina	drMalDome25	39617#34	270935826	40911309726	0	31	691746682	44.61	1.25	Malus domestica	Stirling Castle	RBGE Living Collections		AppleDay10498824
illumina	drMalDome22	39617#36	284668122	42984886422	0	31	673737732	41.36	0.83	Malus domestica	Scotch Bridget	RBGE Living Collections		AppleDay10498826
illumina	drMalDome22	39617#36	284668122	42984886422	0	21	678140929	52.24	0.89	Malus domestica	Scotch Bridget	RBGE Living Collections		AppleDay10498826
illumina	drMalDome22	39617#36	284668122	42984886422	0	31	673628321	43.16	0.9	Malus domestica	Scotch Bridget	RBGE Living Collections		AppleDay10498826
	drMalDome23									Malus domestica	Tower of Glamis	RBGE Living Collections	1.24	AppleDay10498792
illumina	drMalDome26	39617#33	367377098	55473941798	0	31	711350326	45.78	1.31	Malus domestica	East Lothian Pippin	RBGE Living Collections		AppleDay10498823
illumina	drMalDome26	39617#33	367377098	55473941798	0	21	714327916	55.47	1.42	Malus domestica	East Lothian Pippin	RBGE Living Collections		AppleDay10498823
illumina	drMalDome26	39617#33	367377098	55473941798	0	31	709775083	45.99	1.32	Malus domestica	East Lothian Pippin	RBGE Living Collections		AppleDay10498823
illumina	drMalDome45	39617#14	373892492	56457766292	0	31	693256456	43.98	1.23	Malus domestica	Beauty of Moray	RBGE Living Collections		AppleDay10498804
illumina	drMalDome45	39617#14	373892492	56457766292	0	21	696478915	54.11	1.33	Malus domestica	Beauty of Moray	RBGE Living Collections		AppleDay10498804
illumina	drMalDome45	39617#14	373892492	56457766292	0	31	691806068	44.15	1.24	Malus domestica	Beauty of Moray	RBGE Living Collections		AppleDay10498804
	?									Malus domestica	Stobo Castle	RBGE Living Collections		""
illumina	drMalDome32	39617#27	362566576	54747552976	0	31	694649564	43.99	1.15	Malus domestica	Cutler Grieve	RBGE Living Collections		AppleDay10498817
illumina	drMalDome32	39617#27	362566576	54747552976	0	21	697810366	54.13	1.26	Malus domestica	Cutler Grieve	RBGE Living Collections		AppleDay10498817
illumina	drMalDome32	39617#27	362566576	54747552976	0	31	693085712	44.11	1.16	Malus domestica	Cutler Grieve	RBGE Living Collections		AppleDay10498817
	?									Malus domestica	Hoods Supreme	RBGE Living Collections		""
illumina	drMalDome31	39617#28	307744898	46469479598	0	31	677589064	41.69	0.87	Malus domestica	Scotch Dumpling	RBGE Living Collections		AppleDay10498818
illumina	drMalDome31	39617#28	307744898	46469479598	0	21	680823137	52.33	0.9	Malus domestica	Scotch Dumpling	RBGE Living Collections		AppleDay10498818
illumina	drMalDome31	39617#28	307744898	46469479598	0	31	675711562	43.27	0.89	Malus domestica	Scotch Dumpling	RBGE Living Collections		AppleDay10498818
	?									Malus domestica	Coxs Orange Pippin	Kew		""
illumina	drMalDome2	39617#3	315322410	47613683910	0	31	676236186	42.46	1.2	Malus domestica	Irish Peach	Kew	0.83	AppleDay10498793
illumina	drMalDome2	39617#3	315322410	47613683910	0	21	680413255	52.93	1.31	Malus domestica	Irish Peach	Kew	0.83	AppleDay10498793
illumina	drMalDome2	39617#3	315322410	47613683910	0	31	675190217	42.75	1.21	Malus domestica	Irish Peach	Kew	0.83	AppleDay10498793
illumina	drMalDome1	39617#4	593625876	89637507276	0	31	-1	0	-100	Malus domestica	Killerton Sweet	Kew	1.22	AppleDay10498794
illumina	drMalDome1	39617#4	593625876	89637507276	0	21	-1	0	-100	Malus domestica	Killerton Sweet	Kew	1.22	AppleDay10498794
illumina	drMalDome1	39617#4	593625876	89637507276	0	31	685846506	40.39	0.93	Malus domestica	Killerton Sweet	Kew	1.22	AppleDay10498794
illumina	drMalDome4	39617#1	282525790	42661394290	0	31	690180870	43.86	1.12	Malus domestica	Lord Burghley	Kew	0.81	AppleDay10498791
illumina	drMalDome4	39617#1	282525790	42661394290	0	21	694468372	54	1.22	Malus domestica	Lord Burghley	Kew	0.81	AppleDay10498791
illumina	drMalDome4	39617#1	282525790	42661394290	0	31	689464607	44.12	1.12	Malus domestica	Lord Burghley	Kew	0.81	AppleDay10498791
illumina	drMalDome7	39617#12	344665216	52044447616	0	31	649709840	38.85	0.81	Malus domestica	Malus domestica Coxs self	CamBot		AppleDay10498802
illumina	drMalDome7	39617#12	344665216	52044447616	0	21	1006397881	113.18	5.38	Malus domestica	Malus domestica Coxs self	CamBot		AppleDay10498802
illumina	drMalDome7	39617#12	344665216	52044447616	0	31	647211059	40.34	0.85	Malus domestica	Malus domestica Coxs self	CamBot		AppleDay10498802
illumina	drMalDome8	39617#11	354959876	53598941276	0	31	653858568	42.7	2.51	Malus domestica	Malus John Downie	CamBot		AppleDay10498801
illumina	drMalDome8	39617#11	354959876	53598941276	0	21	655606440	53.16	2.64	Malus domestica	Malus John Downie	CamBot		AppleDay10498801
illumina	drMalDome8	39617#11	354959876	53598941276	0	31	648745926	43.83	2.5	Malus domestica	Malus John Downie	CamBot		AppleDay10498801
illumina	drMalDome9	39617#10	706331846	106656108746	0	31	-1	0	-100	Malus domestica	Malus pumila Flower of Kent	CamBot		AppleDay10498800
illumina	drMalDome9	39617#10	706331846	106656108746	0	21	-1	0	-100	Malus domestica	Malus pumila Flower of Kent	CamBot		AppleDay10498800
illumina	drMalDome9	39617#10	706331846	106656108746	0	31	644388915	37.92	0.82	Malus domestica	Malus pumila Flower of Kent	CamBot		AppleDay10498800
illumina	drMalRobu1	39617#40	376093964	56790188564	0	31	638900201	41.02	1.99	Malus x robusta	Robusta 5	East Malling	0.8	AppleDay10498830
illumina	drMalRobu1	39617#40	376093964	56790188564	0	21	642039767	51.76	2.14	Malus x robusta	Robusta 5	East Malling	0.8	AppleDay10498830
illumina	drMalDome20	39617#38	358420828	54121545028	0	31	658047042	41.09	1.18	Malus domestica	Park Farm Pippin	East Malling	0.86	AppleDay10498828
illumina	drMalDome20	39617#38	358420828	54121545028	0	21	660697159	51.73	1.28	Malus domestica	Park Farm Pippin	East Malling	0.86	AppleDay10498828
illumina	drMalDome20	39617#38	358420828	54121545028	0	31	656084718	41.17	1.18	Malus domestica	Park Farm Pippin	East Malling	0.86	AppleDay10498828
illumina	drMalDome19	39617#39	370703710	55976260210	0	31	655794047	40.62	1.02	Malus domestica	Fiesta	East Malling	0.81	AppleDay10498829
illumina	drMalDome19	39617#39	370703710	55976260210	0	21	659263256	51.39	1.12	Malus domestica	Fiesta	East Malling	0.81	AppleDay10498829
illumina	drMalDome19	39617#39	370703710	55976260210	0	31	654491922	40.64	1.03	Malus domestica	Fiesta	East Malling	0.81	AppleDay10498829
illumina	drMalDome18	39617#41	296073892	44707157692	0	31	654627506	41.1	1.23	Malus domestica	Decio	East Malling	0.83	AppleDay10498831
illumina	drMalDome18	39617#41	296073892	44707157692	0	21	658896656	51.76	1.33	Malus domestica	Decio	East Malling	0.83	AppleDay10498831
illumina	drMalDome18	39617#41	296073892	44707157692	0	31	653845165	41.33	1.24	Malus domestica	Decio	East Malling	0.83	AppleDay10498831
illumina	drMalDome17	39617#43	749571154	113185244254	0	31	1023477515	83.78	1.32	Malus domestica	Ashmead’s Kernel	Wisley	1.23	AppleDay10498833
illumina	drMalDome17	39617#43	749571154	113185244254	0	21	-1	0	-100	Malus domestica	Ashmead’s Kernel	Wisley	1.23	AppleDay10498833
illumina	drMalDome17	39617#43	749571154	113185244254	0	31	652432370	37.51	0.91	Malus domestica	Ashmead’s Kernel	Wisley	1.23	AppleDay10498833
illumina	drMalDome12	39617#44	369215272	55751506072	0	31	667674955	41.8	1.17	Malus domestica	Harvey	Wisley	0.84	AppleDay10498834
illumina	drMalDome12	39617#44	369215272	55751506072	0	21	670666018	52.36	1.27	Malus domestica	Harvey	Wisley	0.84	AppleDay10498834
illumina	drMalDome12	39617#44	369215272	55751506072	0	31	665932206	41.9	1.17	Malus domestica	Harvey	Wisley	0.84	AppleDay10498834
illumina	drMalDome14	39617#47	361879510	54643806010	0	31	658278035	41.32	1.17	Malus domestica	Kingston Black	Wisley	0.84	AppleDay10498837
illumina	drMalDome14	39617#47	361879510	54643806010	0	21	661669669	51.9	1.28	Malus domestica	Kingston Black	Wisley	0.84	AppleDay10498837
illumina	drMalDome14	39617#47	361879510	54643806010	0	31	656379104	41.31	1.18	Malus domestica	Kingston Black	Wisley	0.84	AppleDay10498837
illumina	drMalDome13	39617#42	345833368	52220838568	0	31	657976067	41.78	1.35	Malus domestica	Breakwells Seedling	Wisley	0.81	AppleDay10498832
illumina	drMalDome13	39617#42	345833368	52220838568	0	21	661052400	52.22	1.45	Malus domestica	Breakwells Seedling	Wisley	0.81	AppleDay10498832
illumina	drMalDome13	39617#42	345833368	52220838568	0	31	655465658	41.89	1.35	Malus domestica	Breakwells Seedling	Wisley	0.81	AppleDay10498832
illumina	drMalDome16	39617#45	365147768	55137312968	0	31	650698696	40.98	1.31	Malus domestica	Worcester Pearmain	Wisley	0.83	AppleDay10498835
illumina	drMalDome16	39617#45	365147768	55137312968	0	21	654895509	51.66	1.43	Malus domestica	Worcester Pearmain	Wisley	0.83	AppleDay10498835
illumina	drMalDome16	39617#45	365147768	55137312968	0	31	648792333	41.06	1.31	Malus domestica	Worcester Pearmain	Wisley	0.83	AppleDay10498835
illumina	drMalDome15	39617#46	782990442	118231556742	0	31	1009615141	83.6	1.37	Malus domestica	Blenheim Orange	Wisley	1.23	AppleDay10498836
illumina	drMalDome15	39617#46	782990442	118231556742	0	21	-1	0	-100	Malus domestica	Blenheim Orange	Wisley	1.23	AppleDay10498836
illumina	drMalDome15	39617#46	782990442	118231556742	0	31	649133421	36.94	0.93	Malus domestica	Blenheim Orange	Wisley	1.23	AppleDay10498836
illumina	drMalDome6	39617#13	734965444	110979782044	0	31	1066680591	86.67	1.27	Malus domestica	Sangers Newton	Sanger	1.32	AppleDay10498803
illumina	drMalDome6	39617#13	734965444	110979782044	0	21	-1	0	-100	Malus domestica	Sangers Newton	Sanger	1.32	AppleDay10498803
illumina	drMalDome6	39617#13	734965444	110979782044	0	31	661549930	39.65	0.82	Malus domestica	Sangers Newton	Sanger	1.32	AppleDay10498803
illumina	drMalDome57	39617#48	770383130	116327852630	0	31	-1	0	-100	Malus domestica	Trinitys Newton	Trinity College Cambridge		AppleDay10498838
illumina	drMalDome57	39617#48	770383130	116327852630	0	21	-1	0	-100	Malus domestica	Trinitys Newton	Trinity College Cambridge		AppleDay10498838
illumina	drMalDome57	39617#48	770383130	116327852630	0	31	647414715	37.98	0.82	Malus domestica	Trinitys Newton	Trinity College Cambridge		AppleDay10498838
illumina	drMalSylv6	39617#5	384510502	58061085802	0	31	709726668	44.36	0.77	Malus sylvestris	""	""		AppleDay10498795
illumina	drMalSylv6	39617#5	384510502	58061085802	0	21	714792278	54.57	0.84	Malus sylvestris	""	""		AppleDay10498795
illumina	drMalSylv6	39617#5	384510502	58061085802	0	31	709850525	44.47	0.78	Malus sylvestris	""	""		AppleDay10498795
illumina	drMalSylv5	39617#6	317306324	47913254924	0	31	666435564	44.22	1.87	Malus sylvestris	""	""		AppleDay10498796
illumina	drMalSylv5	39617#6	317306324	47913254924	0	21	670470123	53.2	2.1	Malus sylvestris	""	""		AppleDay10498796
illumina	drMalSylv5	39617#6	317306324	47913254924	0	31	667954544	45.79	1.87	Malus sylvestris	""	""		AppleDay10498796
illumina	drMalSylv4	39617#7	331976786	50128494686	0	31	698315473	44.41	1.03	Malus sylvestris	""	""		AppleDay10498797
illumina	drMalSylv4	39617#7	331976786	50128494686	0	21	706865018	54.54	1.13	Malus sylvestris	""	""		AppleDay10498797
illumina	drMalSylv4	39617#7	331976786	50128494686	0	31	699389679	44.75	1.04	Malus sylvestris	""	""		AppleDay10498797
illumina	drMalSylv3	39617#8	350784052	52968391852	0	31	698139673	44.05	0.78	Malus sylvestris	""	""		AppleDay10498798
illumina	drMalSylv3	39617#8	350784052	52968391852	0	21	706305909	54.36	0.85	Malus sylvestris	""	""		AppleDay10498798
illumina	drMalSylv3	39617#8	350784052	52968391852	0	31	697910436	43.84	0.78	Malus sylvestris	""	""		AppleDay10498798
illumina	drMalSylv1	39617#9	291945370	44083750870	0	31	685645693	43.84	0.98	Malus sylvestris	""	""		AppleDay10498799
illumina	drMalSylv1	39617#9	291945370	44083750870	0	21	696819227	53.94	1.09	Malus sylvestris	""	""		AppleDay10498799
illumina	drMalSylv1	39617#9	291945370	44083750870	0	31	685642380	44.55	0.99	Malus sylvestris	""	""		AppleDay10498799
illumina	drMalSylv80	39617#49	372311026	56218964926	0	31	676926733	42.63	1.02	Malus sylvestris	""	""		AppleDay10498839
illumina	drMalSylv80	39617#49	372311026	56218964926	0	21	681553506	53.08	1.11	Malus sylvestris	""	""		AppleDay10498839
illumina	drMalSylv80	39617#49	372311026	56218964926	0	31	675823235	42.65	1.02	Malus sylvestris	""	""		AppleDay10498839
illumina	drMalSylv82	39617#50	329641558	49775875258	0	31	1428122808	81.12	-0.27	Malus sylvestris	""	""		AppleDay10498840
illumina	drMalSylv82	39617#50	329641558	49775875258	0	21	747477646	53.78	0.87	Malus sylvestris	""	""		AppleDay10498840
illumina	drMalSylv82	39617#50	329641558	49775875258	0	31	714721555	45	1.07	Malus sylvestris	""	""		AppleDay10498840
illumina	drMalSylv83	39617#51	343250180	51830777180	0	31	729894860	46.01	0.95	Malus sylvestris	""	""		AppleDay10498841
illumina	drMalSylv83	39617#51	343250180	51830777180	0	21	747987880	56.03	0.99	Malus sylvestris	""	""		AppleDay10498841
