Accession_Name	Description	Synonyms	Availability	Shape	Size	Height	Width	Ribbing	Ground_Colour	Over_Colour	Over_Colour_P	Crunch	Flesh_Colour	Flowering	Picking	Russet	Crown	Coarseness
Alexander	Thought to be Ukrainian. Known in the 1700s. Introduced to the UK in 1805. Fruits have firm, rather coarse, dry, acid flesh with very little flavour.	Albertin, Alexander the First, Alexander von Russland, Alexandre Empereur de Russie, Allbertin, Allerweltsapfel, Aport, Aport Aleksandr, Aport Alexander, Aport Krasnye, Aport Oseni, Aport Osennii, Aport Ukrainskii, Aporta, Aporta Nalifia, Aporta Nalivia, Aporte, Apporta, Aubertin, Beauty of Queen, Belle d'Orleans, Belle de Bruxelles, Calville Alexandre, Car Alexander, Car Alexandr, Car Alexandr, Cář Alexandr., Car-Alexndr, Comte Woronzoff, Corail, Count Woronzoff's Apple, Empereur Alexander, Empereur Alexandre, Empereur Alexandre 1er, Empereur Alexandre de Russie, Empereur Alexandre I, Empereur de Russie, Emperor, Emperor Alexander, English King, Fin d'Automne, Gotmanka?, Gotmanovka?, Graffenberg Rhoold, Grand Alexandre, Grand-Alexandre, Gros Alexandre, Gros-Alexandre, Gross Alexandre, Gusevskoe, Imperatore Alessandro, Jolly Gentleman, Kaiser Alexander, Kaiser Alexander von Russland, Keijser Alexander, Keizer Alexander, Kejser Alexander, Kief's Koy, Kiefs Koy, Kirkes Sondergleichen, Korallen, Korallen Apfel, Korallenapfel, Liebensteiner Korallenapfel, Marele Alexandru, Oport, Phoenix, Phoenix Apple, Phonix, Phonix Apple, Pomme Corail, Pomona Britannica, President Napoleon, Russian Emperor, Sander Czar, Stoke Tulip, Sugar and Cream, Tar Alexandar, The Alexander Apple, Wunder Apfel, Wunderapfel	Material available from the National Fruit Collection.	Conical	large	75.00	100.00	weak	Yellow	Red			Yellowish	5th May10% flowering, 10th MayFull (80%) flowering, 19th May90% petal fall	Mid September			
Alexis	A more highly coloured sport of McIntosh. Received via Scotland from Yugoslavia. It first fruited in Scotland in 1960.Fruits have rather soft, very juicy flesh with a sweet and pleasant vinous flavour.		Material available from the National Fruit Collection.	Flat globose	large			weak-medium	Whitish green	Red		crisp	White	4th May10% flowering, 8th MayFull (80%) flowering, 15th May90% petal fall	Mid September	very low	weak-medium	
Alfa 68	Raised in 1937 at the Horticultural Research Station, Alnarp, Sweden. It was introduced in 1954. Fruits have firm, tender, juicy, acid flesh, with a good flavour.		Material available from the National Fruit Collection.	Broad globose conical	large			weak-medium	Green yellow	Orange		crisp	Cream	5th May10% flowering, 11th MayFull (80%) flowering, 17th May90% petal fall	Mid October	low-medium	very weak	
Alfred Jolibois	Availability		Material available from the National Fruit Collection.	Oblong conical	small			weak-medium	Green yellow	Orange			White	6th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Mid October	low	very weak	fine
Alfriston	Raised in the late 1700s by Mr Shepherd at Uckfield, Sussex and named Shepherd's Pippin. Re-named Alfriston in 1819. Received the Award of Merit from the Royal Horticultural Society in 1920. Fruits are soft, coarse-textured, not very juicy and acid. Cooks well.	Alfreston, Alfristan, Freen Grove, Green Goose, Lord Gweyder's Newton Pippin, Lord Gwydir's Newton Pippin, Lord Gwydr's Newton Pippin, Lord Gwydr's Newtown Pippin, Lord Gwydyr's Newton Pippin, Lord Gwydyr's Newtown Pippin, Shepherd's Pippin, Shepherd's Seedling, Shepherd's Seedling Pippin, Shepperd's Seedling	Material available from the National Fruit Collection.	Broad globose conical	large	68.00	80.00	medium		Orange			Yellowish	5th May10% flowering, 10th MayFull (80%) flowering, 17th May90% petal fall	Early October	very low		coarse
Alice	Raised in 1943 at Balsgard Fruit Breeding Institute, Sweden. Introduced in 1962. Fruits are crisp and juicy but with little flavour.		Material available from the National Fruit Collection.	Flat globose	medium				Yellow	Red		crisp	White	5th May10% flowering, 10th MayFull (80%) flowering, 18th May90% petal fall	Late August			
Alkmene	Raised in 1930 at the former Kaiser Wilhelm Institute, Brandenburg, Germany. Fruits are crisp and juicy with a Cox like flavour.	Early Windsor	Material available from the National Fruit Collection.											30th April10% flowering, 6th MayFull (80%) flowering, 15th May90% petal fall	late september			
All-Red Gravenstein	Triploid. A coloured sport of Gravenstein originating from the U.S.A. Fruits are crisp, coarse-textured and juicy with a distinct flavour.		Material available from the National Fruit Collection.	Truncate conical	large	57.00	75.00			Red	striped	crisp	Yellowish	25th April10% flowering, 1st MayFull (80%) flowering, 11th May90% petal fall	Early September			
Allen's Everlasting	Catalogued in 1864. Received a First Class Certificate from the Royal Horticultural Society in 1899. Fruits have firm, juicy flesh with a fair flavour.	Allen's Dauer Apfel, Allen's Dauerapfel, Allens Everlasting, Eternel d'Allen, Eternelle d'Allen, Harvey's Everlasting	Material available from the National Fruit Collection.	Flat		53.00	72.00	strong	Yellow	Red			Greenish	5th May10% flowering, 10th MayFull (80%) flowering, 17th May90% petal fall	Mid October	low		fine
Allington Pippin	Raised by Thomas Laxton in Lincolnshire before 1884. It received a First Class Certificate from the Royal Horticultural Society in 1894 under its original name, 'Brown's South Lincoln Beauty'. Renamed in 1894 and introduced by Bunyard of Maidstone in 1896. Once a commercial dessert variety. Fruits have a distinct aromatic flavour.	Allington, Allington Peppin, Allington Pepping, Allingtoner Pepping, Allingtonovo jablko, Brown's South Lincoln Beauty, Pepin Allingtona, Pepin d'Allington, South Lincoln Beauty, South Lincoln Pippin	Material available from the National Fruit Collection.	Truncate conical	medium	65.00	65.00	very weak	Yellow	Red	striped	crisp	Yellowish	6th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Early October			
Alnarp's Favorit	Triploid. Raised in 1945 at the Horticultural Research Station, Alnarp, Sweden. Selected in 1967. Fruits have sweet, soft flesh.	Alnarp's Favorit, Alnarps Favourite	Material available from the National Fruit Collection.		large							crumbly		5th May10% flowering, 9th MayFull (80%) flowering, 17th May90% petal fall	Mid October			
Altlander Fettapfel	Availability		Material available from the National Fruit Collection.	Broad globose conical	large			strong	Whitish yellow	Orange		crisp	White	7th May10% flowering, 11th MayFull (80%) flowering, 19th May90% petal fall	Mid September	low	strong	
Altlander Pfannkuchenapfel	Synonyms:	Altlander, Echter Pfannkuchenapfel	Material available from the National Fruit Collection.	Broad globose conical	large				Yellow	Red			Cream	5th May10% flowering, 10th MayFull (80%) flowering, 17th May90% petal fall	Mid October			fine
Altlander Rosenapfel	Originated in the Altes Land, Germany. Known in about 1850. Fruits have firm, coarse flesh with an acid flavour.		Material available from the National Fruit Collection.	Flat globose	large-very large			weak-medium	Whitish yellow	Orange		crisp	White	5th May10% flowering, 10th MayFull (80%) flowering, 17th May90% petal fall	Late September	low	strong-very strong	coarse
Alton	Raised in 1923 by Richard Wellington at the New York State Agricultural Experiment Station, Geneva, USA. Introduced in 1938. Fruits are similar in flavour to McIntosh.		Material available from the National Fruit Collection.		small				Green					5th May10% flowering, 10th MayFull (80%) flowering, 16th May90% petal fall	Late August			
Amanishiki	Raised in 1936 at Aomori Apple Experiment Station, Japan. It was named in 1948. Fruits are sweet and insipid - fails to ripen properly in Britain.		Material available from the National Fruit Collection.	Truncate conical	medium	50.00	55.00	medium	Green yellow	Brown			Greenish	6th May10% flowering, 11th MayFull (80%) flowering, 19th May90% petal fall	Late October			
Ambassy	A more highly coloured clone of Delcorf. Fruits are sweet, crisp and juicy with a good flavour.	Dalili	Material in the National Fruit Collection not currently available.											19th April10% flowering, 22nd AprilFull (80%) flowering, 1st May90% petal fall	early september			
Amber	Raised before 1936 at Chelmsford, Essex by W. Seabrook and Sons. Fruits have tender, firm, yellowish-white flesh.		Material available from the National Fruit Collection.	Flat globose	medium-large			absent	Yellow	Orange				""		low	absent	
Ambro	Received by the National Fruit Collection, Brogdale in 1998 from T. Visser, Wageningen, Netherlands. Fruits are sweet, crisp and juicy.		Material in the National Fruit Collection not currently available.											26th April10% flowering, 29th AprilFull (80%) flowering, 8th May90% petal fall	late september			
American Beauty	Originated in Sterling, Massachusetts, USA. Recorded in 1854. Fruits have softish flesh with a slightly aromatic flavour.	Beauty of America, Belle Americaine, Krasavitsa amerikanka, Sterling, Sterling Beauty	Material available from the National Fruit Collection.	Conical	large				Yellow	Red			Yellowish	12th May10% flowering, 17th MayFull (80%) flowering, 24th May90% petal fall	Mid October	very low		fine
American Golden Russet	Originated in the late 1700s in Burlington County, New Jersey, USA. Fruits have fine, tender flesh with a subacid, aromatic flavour.	Bullock, Bullock's Peppin, Bullock's Pepping, Bullock's Pippin, de Vin, Fox Apple, Golden Americ	Material available from the National Fruit Collection.	Conical	small				Yellow				Yellowish	4th May10% flowering, 10th MayFull (80%) flowering, 17th May90% petal fall	Early October	high-very high		fine
American Grindling	Originated from U.S.A. Recorded in 1872. Fruits have soft, coarse, acid flesh.		Material available from the National Fruit Collection.	Broad globose conical	large-very large	69.02	90.62	weak	Green yellow	Brown			Cream	10th May10% flowering, 15th MayFull (80%) flowering, 22nd May90% petal fall	Late August	low	weak-medium	coarse
American Summer Pearmain	Originated from U.S.A. First described in 1817. Fruits have firm flesh with a sweet aromatic flavour.	American Pearmain, American Summer, Early Summer Pearmain, Pearmain d'Ete Americaine, Summer Pearmain, Summer Pippin	Material available from the National Fruit Collection.	Ellipsoid	medium				Yellow	Red	striped		Yellowish	1st May10% flowering, 6th MayFull (80%) flowering, 13th May90% petal fall	Mid September			
Ames	Raised at Iowa Agricultural Experimental Station, Ames, Iowa, U.S.A by H.L. Lantz. It was introduced in the 1920s. Fruits have soft, fine, juicy flesh with a sweet, vinous flavour.		Material available from the National Fruit Collection.	Globose conical	small			weak	Whitish yellow	Red	striped		White	1st May10% flowering, 6th MayFull (80%) flowering, 13th May90% petal fall	Early September			fine
Amorosa	A coloured sport of Aroma originating in Sweden. Fruits have very juicy, melting flesh with a good flavour.		Material in the National Fruit Collection not currently available.											28th April10% flowering, 30th AprilFull (80%) flowering, 10th May90% petal fall	early october			
Ananas Reinette	Thought to have originated in The Netherlands. Recorded in 1821. Fruits are crisp and juicy with a perfumed pineapple flavour.	Ananas, Ananas Renette, Ananas-Reinette, Ananasii, Ananasnii renet, Ananasova reneta, Ananasreinette, Ananasrenett, Ananasz renet, Annanas-Reinette, Reinette Ananas, Reinette d'Ananas, Renet d'Ananas, Renetta Ananas	Material available from the National Fruit Collection.	Ellipsoid	medium				Yellow	Brown			Yellowish	3rd May10% flowering, 9th MayFull (80%) flowering, 16th May90% petal fall	Early October	very low		fine
Andre Briollay	Availability		Material available from the National Fruit Collection.	Flat	small			strong	Yellow				White	29th May10% flowering, 3rd JuneFull (80%) flowering, 9th June90% petal fall	Late October	low	strong	fine
Angyal Dezso	Thought to have originated in the 1900s from Hungary. Fruits have crisp, coarse flesh with a sweet to subacid and nutty flavour.		Material available from the National Fruit Collection.	Broad globose conical	medium	47.50	57.50	medium	Yellow	Orange		crisp	Cream	9th May10% flowering, 15th MayFull (80%) flowering, 23rd May90% petal fall	Late October			coarse
Anisa	Synonyms:	Udarria Zagarra	Material available from the National Fruit Collection.	Globose conical	small-medium			medium	Whitish yellow	Orange			White	18th May10% flowering, 24th MayFull (80%) flowering, 31st May90% petal fall	Early October	medium-high	weak	fine
Anna Boelens	Originated either from The Netherlands or Germany. Received by the National Fruit Trials in 1945. Received the Certificate of Merit from The Netherlands Pomological Society. Fruits are crisp and juicy with a strong aniseed flavour.		Material available from the National Fruit Collection.	Flat	medium	40.00	55.00	medium	Green yellow	Orange	striped		White	8th May10% flowering, 14th MayFull (80%) flowering, 23rd May90% petal fall	Late September			
Annie Elizabeth	Raised by Samuel Greatorex at Knighton, Leicester in about 1857 and named after his baby daughter who died in 1866. Introduced in about 1898. Received a First Class Certificate from the Royal Horticultural Society in 1868. A fine, late-keeping cooking apple.	Annie Elisabeth, Carter's Seedling, Sloto, Slotoaeble, Slotrable, Slotraeble, Sussex Pippin, The George	Material available from the National Fruit Collection.	Broad globose conical	large	80.00	95.00	medium	Yellow	Red	striped		White	9th May10% flowering, 16th MayFull (80%) flowering, 23rd May90% petal fall	Early October			
Annurca	Synonyms:	Anurka	Material available from the National Fruit Collection.	Broad globose conical	small-medium			weak-medium	Yellow	Orange		crisp	White	6th May10% flowering, 11th MayFull (80%) flowering, 19th May90% petal fall	Late October	low	very weak	
Antonovka	A Russian variety which arose in Kursk. Recorded in 1826. Fruits are crisp and juicy with an acid flavour. Cooks well.	Antenovka, Antoni, Antonifka, Antonovca, Antonovka obiknovennaia, Antonovka obyknovennaya, Antonovka prostaya, Antonovskoe yabloko, Antonowka, Antonowka Zwykla, Antony, Bergamot, Cinnamon, Dukhovoe, German Calville, King of the Steppe, Nalivia, Possart's Nalivia, Possarts Moskauer Nalivia, Possarts Nalivia, Russian Gravenstein, Vargul	Material available from the National Fruit Collection.	Broad globose conical	large			strong	Whitish yellow	n/a			White	2nd May10% flowering, 8th MayFull (80%) flowering, 16th May90% petal fall	Early September	low	strong	coarse
Antonovka Grammovaya 600	Thought to be a sport of Antonovka. It was discovered by I.V. Michurin in Mogilev, Russia in 1888. Introduced in 1892. It produces larger fruit than Antonovka. Fruits have softish flesh with a subacid flavour.		Material available from the National Fruit Collection.	Broad globose conical	large	59.98	71.34	strong	Whitish yellow	Pink			White	5th May10% flowering, 9th MayFull (80%) flowering, 17th May90% petal fall	Mid September	low	medium	
Antonovka-Kamenichka	Originated from Chernigov, Ukraine, Russia. Recorded in 1889.	Anto, Antonovka krasnobochka, Antonovka krasnobokaya, Antonovka lugovaya?, Antonowka kamenitchka	Material available from the National Fruit Collection.	Oblong	medium				Yellow				Yellowish	2nd May10% flowering, 10th MayFull (80%) flowering, 18th May90% petal fall	Mid September			
Aori	Raised at Aomori Apple Experimental Station, Japan. Received by the National Fruit Trials in 1977. Fruits are very sweet and tend to have a tough skin.		Material available from the National Fruit Collection.	Globose conical	medium			weak-medium	Whitish yellow	Red		crisp	Yellowish	1st May10% flowering, 5th MayFull (80%) flowering, 12th May90% petal fall	Late September	low	medium	
Apez Zagarra	Availability		Material available from the National Fruit Collection.	Globose conical	small	54.63	58.10	weak-medium	Whitish green	Orange		crisp	Greenish	17th May10% flowering, 22nd MayFull (80%) flowering, 29th May90% petal fall	Late October	high-very high	weak	
Api	Also known as Lady Apple. It is thought to have been found in the Forest of Apis, Brittany, France. Recorded in 1628. Fruits are sweet, crisp and juicy with an aromatic flavour. Highly decorative fruits.	Almindelig, American Lady, Apfel Klenie, Api Eller, Api fin, Api Gros, Api ordinaire, Api Petit, Api Petite, Api Piccolo, Api rose, Api rouge, Api rouge d'Hiver, Api rozove, Apia, Apio, Apis, Appease, Appia, Appie, Appio, Apy, Apy rouge, Bollen Apfel, Bomdabinchen, Bomdabincheu, Cardinal, Cardinale, Christmas Apple, Claduiana, d'Api, de Cardinal, de Lady, de Long Bois, de Long-Bois, Dieu, Doppelter Api, Etoilee, Gro Api, Gros Api rouge, Gros-Api rouge, Kis Api, Kliene Api, Kliener Api, Krippele, Lady, Lady Apple, Lady Apple of the Americans, Lille Api, Long Bois, Long-Bois, Male Jablicko, Malus Apiosa, Mela Appiola Piccola, Passe Rose, Petit Api, Petit Api rose, Petit Api rouge, Petit Apis, Petit-Api rose, Petit-Api-rouge, Petit-Apis, Petite Api rouge, Pippin Dien, Pippin Rose, Pomme Apease, Pomme Appease, Pomme d'Api, Pomme d'Api Rouge, Pomme d'Apiet, Pomme d'Apis, Pomme d'Appease, Pomme de Long-Bois, Pomme Dien, Pomme Dieu, Pomme Rose, Pomme-Rose, Pomone d'Apis, Pompone Apple, Pontaferl, Rose, Rosenapi	Material available from the National Fruit Collection.	Flat	small	30.00	50.00	medium	Yellow	Red			White	27th April10% flowering, 30th AprilFull (80%) flowering, 8th May90% petal fall	Mid October			
Api Noir	Originated in France. Known in the late 1700s. Fruits are sweet, crisp and juicy with an aromatic flavour. Very similar to Api.	Api chernoe, Apis Noir, Black Lady Apple, Calvau noir, Calvau Noire, d'Api Noire, de Caluau, De Pommier a Fruit noir, Pomme de Calvau, Pomme de Pommier a Fruit Noir, Pommier a fruit noir, Schwarze Api, Schwarzer Api	Material available from the National Fruit Collection.	Flat	small			weak	Yellow	Dark Red			White	7th May10% flowering, 11th MayFull (80%) flowering, 19th May90% petal fall	Mid October	very low		
Api Rose (Creuse)	Availability		Material available from the National Fruit Collection.	Broad globose conical	small-medium	40.50	49.00	very weak	Green yellow	Orange	striped	crisp	White	19th May10% flowering, 24th MayFull (80%) flowering, 31st May90% petal fall	Mid October	very low		fine
Appel van Paris	Raised in 1935 by Professor Sprenger at Wageningen, The Netherlands. Fruits have a slightly scented flavour.		Material available from the National Fruit Collection.	Broad globose conical	medium			weak	Yellow	Orange			White	12th May10% flowering, 17th MayFull (80%) flowering, 26th May90% petal fall	Late October	very low	weak-medium	coarse
Ard Cairn Russet	Discovered by Baylor Hartland in Cork, Ireland in about 1890. Received the Award of Merit from the Royal Horticultural Society in 1910. Fruits are firm, sweet with little juice. Flavour is slightly aromatic.	Ard Cairn	Material available from the National Fruit Collection.	Truncate conical	medium	65.00	65.00	weak-medium	Yellow	Red	striped		Yellowish	6th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Late September	high-very high		
Arditi	Availability		Material available from the National Fruit Collection.	Flat globose	medium-large			weak-medium	Whitish green	Red			Cream	10th May10% flowering, 14th MayFull (80%) flowering, 20th May90% petal fall	Late October	absent	weak	fine
Ariwa	Availability		Material in the National Fruit Collection not currently available.	Globose	medium			weak-medium	Yellow	Orange				""		very low	weak	
Arkansas	Triploid. Originated near Rhea Mills, Arkansas, U.S.A. from seed sown in about 1833. Introduced in about 1868. Fruits have firm, cream flesh with a subacid flavour.	Arkansaw, Mammoth Black Twig	Material available from the National Fruit Collection.	Globose	large	63.95	76.39	weak-medium	Yellow	Orange		crisp	Cream	4th May10% flowering, 10th MayFull (80%) flowering, 18th May90% petal fall	Late October	low	medium	
Arkcharm	Raised at the University of Arkansas, USA and received by the National Fruit Collection, Brogdale in 1997. Fruits have juicy, softish flesh with a fairly pleasant flavour.		Material in the National Fruit Collection not currently available.											28th April10% flowering, 30th AprilFull (80%) flowering, 7th May90% petal fall	August			
Arlet	Raised at the Federal Agricultural Research Station, Wadenswil, Switzerland. Received by the National Fruit Collection, Brogdale in 1995. Fruits are sweet, crisp and juicy with a slightly perfumed flavour.		Material available from the National Fruit Collection.	Globose conical	large	69.69	75.17	weak-medium	Yellow	Pink		crisp	Cream	18th April10% flowering, 20th AprilFull (80%) flowering, 1st May90% petal fall	Early October	low	weak	
Aroma	Raised in 1945 at Balsgard Fruit Breeding Institute, Sweden. Introduced in 1973. Fruits have very juicy, melting flesh with a good flavour.		Material available from the National Fruit Collection.	Broad globose conical	large-very large	66.01	80.83	weak	Yellow	Orange		crisp	Cream	10th May10% flowering, 15th MayFull (80%) flowering, 23rd May90% petal fall	Early October	low	absent	coarse
Aromatic Russet (Scott)	An apple of UK origin. Introduced in about 1850. Fruits have firm flesh with a sweet, aromatic flavour.		Material available from the National Fruit Collection.											""				
Arthur Turner (LA 71A)	Raised by Charles Turner at Slough, Bucks., and introduced by him in 1915. Received the Award of Merit from the Royal Horticultural Society in 1912 as 'Turner's Prolific'. It was renamed in 1913. A large cooking apple with somewhat tough skin. Well known for its particularly attractive blossom, for which it received an Award of Garden Merit in 1945.	Turner's Prolific	Material available from the National Fruit Collection.	Broad globose conical	large	72.50	83.00	medium	Green yellow	Orange			White	2nd May10% flowering, 8th MayFull (80%) flowering, 18th May90% petal fall	Late September	low		fine
Arthur W. Barnes	Raised in 1902 at Eaton Gardens, Chester, by N.F. Barnes, head gardener to the Duke of Westminster. Introduced in 1928 by Clibrans of Altrincham. Cooks well.	A. W. Barnes	Material available from the National Fruit Collection.	Broad globose conical	large	59.50	73.00	weak-medium	Green yellow	Red	striped	crisp	Greenish	5th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Mid September			medium
Ascot	Raised in 1898 at the Experimental Farm, Ottawa, Canada. Introduced in 1913 by the Horticultural Division. Fruits have soft, juicy, sweet flesh.		Material available from the National Fruit Collection.	Flat globose	medium			medium	Green yellow	Red	striped		Greenish	7th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Early October			
Ashdown Seedling	Originated with the Ashdown and General Land Company, Horsted Keynes, Sussex. Received by the National Fruit Trials in 1966. Fruits are very similar to Discovery.		Material available from the National Fruit Collection.											2nd May10% flowering, 7th MayFull (80%) flowering, 14th May90% petal fall	late august			
